country,aviation,navigation
AT,9.032123,0.494987
BE,15.617199,71.381706
BG,2.248461,1.342869
CH,17.74918,0.286782
CZ,4.368406,0.043998
DE,96.202871,14.04991
DK,9.871403,7.39014
EE,0.627483,1.620591
ES,66.821619,70.525885
FI,8.3123,4.011331
FR,72.034423,18.707532
GB,119.091683,27.596976
GR,12.426612,27.093072
HR,1.927382,0.643398
HU,2.559939,0.043939
IE,10.234224,1.986075
IT,44.747655,27.927045
LT,1.130017,1.713552
LU,5.503612,0.002597
LV,1.43752,2.524153
NL,36.393558,100.386144
NO,8.257366,13.526247
PL,10.170955,2.382197
PT,14.90442,8.920476
RO,1.992353,0.667155
SE,9.668285,18.939725
SI,0.251984,1.633352
SK,0.416963,0.158166
