,coke,methanol,hydrogen,naphtha,ammonia,methane,electricity,solid biomass,coal,low-temperature heat,data_center_electricity
AT0 0,0.126750791,12.70369193,1.723977368,8.559066645,0,1.16404601,62.88874954,22,2.730531196,0,1
BE0 0,0.147093511,24.29914905,3.741821848,16.37146408,0,2.262820278,81.39379896,7,3.217035535,0,11
BG0 0,0.012260861,0,2.663009384,0,0,1.436947112,12.97970163,1,0.416969743,0,0
CZ0 0,0.090925513,14.91736316,1.103982215,10.05051966,0,0.768426495,40.75260432,1,2.051604943,0,4
DE0 0,0.783072129,101.02144,11.02294197,68.06283109,0,7.39036622,351.4079534,65,17.27455843,0,78
DK0 0,0,0,0.001996405,0,0,0.031205939,11.15442294,3,0.200400322,0,29
EE0 0,0,0,0.620204431,0,0,0.333049731,2.249499274,1,0.058332782,0,1
ES0 0,0.261931633,30.104768,2.531972316,20.28297893,0,1.968452357,125.6357263,7,6.711163422,0,67
FR0 0,0.282779638,58.11133813,3.999340785,39.15230459,0,2.697623344,201.501479,22,6.569212677,0,44
GR0 0,0.027007031,0,0.512527748,0,0,0.399256979,15.75086454,2,1.184191533,0,1
HR0 0,0.001638277,0,1.540407273,0,0,0.839679958,11.10700566,0,0.257852136,0,1
HU0 0,0.036432798,7.719451322,1.19791399,5.200952502,0,0.709844499,29.09086004,7,0.848154285,0,2
IT0 0,0.425199013,19.24326809,0.102387015,12.89345222,0,0.913999084,174.4782897,6,9.446021481,0,49
LT0 0,0,0,3.457746785,0,0,1.831525655,4.282504524,1,0.09647527,0,1
LU0 0,0.042839783,0,0.005366088,0,0,0.083603758,4.804328778,0,0.887709868,0,4
LV0 0,0,0,0.000910283,0,0,0.010047512,2.213963755,4,0.080681487,0,0
NL0 0,0.253998644,20.65456213,5.896208433,13.91593678,0,3.53829921,67.6620258,2,4.84288154,0,55
PL0 0,0.180728035,9.785689175,5.049265958,6.593072808,0,3.096794522,99.01240526,22,4.656063619,0,5
PT0 0,0.031296492,11.51277373,0.02535492,7.756689803,0,0.114203578,28.48780168,13,1.075124311,0,33
RO0 0,0.065354472,1.460995133,0.005938267,0.984340205,0,0.192538137,24.8945068,1,1.876168052,0,6
SI0 0,0.012039945,0,0.002266804,0,0,0.030233341,6.82654396,1,0.303584087,0,1
SK0 0,0.094441766,5.71666152,4.39383905,3.851580093,0,2.505683086,17.23467322,2,2.04979316,0,2
